Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
8,Manawatu-Wanganui,15,Wanganui,Main,557400,Upper Aramoho,2050,10,0.9
9,Wellington,17,Upper Hutt Zone,Main,567100,Upper Hutt Central,330,54,31.3
4,BayofPlenty,502,Rural (Incl.some Off Shore Islands),Rural,536642,Upper Papamoa,2310,6,0.5
13,Canterbury,22,Christchurch,Main,590100,Upper Riccarton,3300,29,1.7
7,Taranaki,14,New Plymouth,Main,551600,Upper Westown,1670,2,0.2
7,Taranaki,501,Rural Centre,Rural,550600,Urenui,420,2,0.9
4,BayofPlenty,502,Rural (Incl.some Off Shore Islands),Rural,542562,Urewera,2090,3,0.3
2,Auckland,3,Western Auckland Zone,Main,513211,Urlich,2570,14,1
4,BayofPlenty,10,Rotorua,Main,539700,Utuhina,1470,5,0.7
14,Otago,23,Dunedin,Main,604620,Vauxhall,4100,4,0.2
4,BayofPlenty,10,Rotorua,Main,540420,Victoria,1890,44,4.5
1,Northland,1,Whangarei,Main,503000,Vinetown,1640,13,1.5
2,Auckland,2,Northern Auckland Zone,Main,505906,Vipond,3000,3,0.2
2,Auckland,5,Southern Auckland Zone,Main,524122,Viscount,4510,18,0.8
9,Wellington,20,Wellington Zone,Main,575702,Vogeltown,940,0,
9,Wellington,20,Wellington Zone,Main,575701,Vogeltown West,1170,0,
2,Auckland,2,Northern Auckland Zone,Main,505909,Wade Heads,3570,8,0.4
9,Wellington,20,Wellington Zone,Main,574600,Wadestown,3830,2,0.1
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,527210,Waerenga,2770,8,0.6
3,Waikato,501,Rural Centre,Rural,535000,Waharoa,530,1,0.4
2,Auckland,2,Northern Auckland Zone,Main,507000,Waiake,4650,1,0
15,Southland,502,Rural (Incl.some Off Shore Islands),Rural,610051,Waianiwa,2010,2,0.2
