Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
13,Canterbury,22,Christchurch,Main,595900,South Brighton,3340,8,0.5
14,Otago,23,Dunedin,Main,604410,South Dunedin,2530,35,2.6
15,Southland,301,Gore,Minor,610250,South Gore,860,1,0.2
2,Auckland,502,Rural (Incl.some Off Shore Islands),Rural,506642,South Head,1610,4,0.5
2,Auckland,215,Waiuku,Minor,526105,South Waiuku,1720,1,0.1
13,Canterbury,501,Rural Centre,Rural,597400,Southbridge,940,4,0.8
13,Canterbury,116,Rangiora,Secondary,586304,Southbrook,860,1,0.2
7,Taranaki,14,New Plymouth,Main,551502,Spotswood,2170,14,1.2
13,Canterbury,22,Christchurch,Main,595000,Spreydon,3790,37,1.9
8,Manawatu-Wanganui,15,Wanganui,Main,557000,Spriggens Park,310,14,8.6
18,Marlborough,26,Blenheim,Main,580431,Spring Creek-Grovetown,1290,4,0.6
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,534603,Springdale,2560,1,0.1
4,BayofPlenty,10,Rotorua,Main,540000,Springfield,4280,6,0.3
18,Marlborough,26,Blenheim,Main,581210,Springlands,4410,5,0.2
2,Auckland,4,Central Auckland Zone,Main,517901,Springleigh,3050,35,2.2
1,Northland,1,Whangarei,Main,502001,Springs Flat,1610,4,0.5
13,Canterbury,502,Rural (Incl.some Off Shore Islands),Rural,597512,Springston,3270,4,0.2
8,Manawatu-Wanganui,15,Wanganui,Main,556600,Springvale East,1940,3,0.3
8,Manawatu-Wanganui,15,Wanganui,Main,556500,Springvale West,1370,1,0.1
13,Canterbury,22,Christchurch,Main,592402,St Albans East,4930,19,0.7
13,Canterbury,22,Christchurch,Main,592401,St Albans West,2560,6,0.4
13,Canterbury,502,Rural (Incl.some Off Shore Islands),Rural,600420,St Andrews,190,0,
14,Otago,23,Dunedin,Main,604500,St Clair,4390,9,0.4
2,Auckland,4,Central Auckland Zone,Main,516700,St Heliers,5380,4,0.1
2,Auckland,4,Central Auckland Zone,Main,517201,St Johns,2910,15,1
8,Manawatu-Wanganui,15,Wanganui,Main,557200,St Johns Hill,2230,2,0.2
14,Otago,23,Dunedin,Main,605500,St Kilda Central,1770,9,1
14,Otago,23,Dunedin,Main,605600,St Kilda East,2720,9,0.6
14,Otago,23,Dunedin,Main,605400,St Kilda West,1910,7,0.7
6,Hawke'sBay,13,Hastings Zone,Main,547700,St Leonards,3030,33,2.1
14,Otago,23,Dunedin,Main,604710,St Leonards-Blanket Bay,810,1,0.2
2,Auckland,4,Central Auckland Zone,Main,517600,St Lukes,5290,11,0.4
2,Auckland,4,Central Auckland Zone,Main,515432,St Lukes North,870,2,0.4
13,Canterbury,22,Christchurch,Main,594400,St Martins,4420,10,0.4
2,Auckland,4,Central Auckland Zone,Main,515202,St Marys,3480,10,0.5
2,Auckland,2,Northern Auckland Zone,Main,509500,Stanley Bay,2440,0,
3,Waikato,102,Tokoroa,Secondary,535340,Stanley Park,2150,13,1.2
2,Auckland,2,Northern Auckland Zone,Main,505908,Stanmore Bay East,2790,3,0.2
2,Auckland,2,Northern Auckland Zone,Main,505907,Stanmore Bay West,2790,7,0.5
